record_type,model_time,forecast_time_hkt,temperature_c,weather_icon,daily_min_c,daily_max_c,last_modified,source
hourly,2026091100,2026-09-21T00:00:00+08:00,28.1,,,,20260912041150,HKO.xml
daily,2026091100,2026-09-12T00:00:00+08:00,,51,26.2,31.0,20260912041150,HKO.xml
daily,2026091100,2026-09-13T00:00:00+08:00,,54,25.0,29.0,20260912041150,HKO.xml
daily,2026091100,2026-09-14T00:00:00+08:00,,51,26.0,31.0,20260912041150,HKO.xml
daily,2026091100,2026-09-15T00:00:00+08:00,,50,26.8,31.3,20260912041150,HKO.xml
daily,2026091100,2026-09-16T00:00:00+08:00,,50,27.0,30.5,20260912041150,HKO.xml
daily,2026091100,2026-09-17T00:00:00+08:00,,50,27.0,30.9,20260912041150,HKO.xml
daily,2026091100,2026-09-18T00:00:00+08:00,,50,27.1,30.9,20260912041150,HKO.xml
daily,2026091100,2026-09-19T00:00:00+08:00,,50,27.2,31.6,20260912041150,HKO.xml
daily,2026091100,2026-09-20T00:00:00+08:00,,50,27.1,31.6,20260912041150,HKO.xml
